epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,350.616,0.47203,0.60142,0.93542,0.99763,1,0.995,0.86499,0.59659,0.50246,0.96186,0.00010002,0.00010002,0.00010002
2,679.215,0.46083,0.51261,0.9681,0.99475,1,0.995,0.82096,0.64801,0.67155,1.05736,0.000212419,0.000212419,0.000212419
3,857.333,0.46066,0.4915,0.93872,0.99036,1,0.995,0.85613,0.58907,0.73945,1.01193,0.000320197,0.000320197,0.000320197
4,1197.16,0.48135,0.48797,0.96851,0.99541,1,0.995,0.86821,0.61815,0.63821,1.01927,0.000423355,0.000423355,0.000423355
5,1445.95,0.51415,0.51069,0.96462,0.99441,1,0.995,0.87828,0.56486,0.5279,0.94819,0.000521891,0.000521891,0.000521891
6,1613.83,0.54643,0.53523,0.97358,0.99627,1,0.995,0.86606,0.61088,0.50681,0.93268,0.000615806,0.000615806,0.000615806
7,1897.11,0.5057,0.52479,0.93718,0.99124,1,0.995,0.84598,0.64885,0.55875,0.96916,0.000705101,0.000705101,0.000705101
8,2138.12,0.50294,0.49766,0.96007,0.99142,1,0.995,0.8088,0.69068,0.57818,0.99811,0.000789775,0.000789775,0.000789775
9,2301.61,0.50446,0.4965,0.94589,0.99527,1,0.995,0.83309,0.60928,0.52599,0.93211,0.000869827,0.000869827,0.000869827
10,2600.1,0.46948,0.51287,0.96743,0.99773,1,0.995,0.84915,0.61781,0.51982,0.95263,0.000945259,0.000945259,0.000945259
11,2721.39,0.51042,0.52612,0.97304,0.98974,1,0.995,0.84856,0.58213,0.53364,0.96426,0.00101607,0.00101607,0.00101607
12,2844.23,0.53544,0.49816,0.94743,0.99072,0.9906,0.995,0.81394,0.67454,0.6366,1.09627,0.00108226,0.00108226,0.00108226
13,3010.33,0.55187,0.53604,0.97706,0.98464,1,0.995,0.80246,0.67331,0.57914,1.08822,0.00114383,0.00114383,0.00114383
14,3130.5,0.51018,0.54146,0.97765,0.98989,0.99687,0.995,0.84694,0.60367,0.52147,1.03076,0.00120078,0.00120078,0.00120078
15,3242.87,0.47918,0.4762,0.96855,0.95081,0.98,0.99192,0.7965,0.70457,0.66472,1.05902,0.00120491,0.00120491,0.00120491
16,3361.38,0.55049,0.56407,0.97695,0.99175,1,0.995,0.83096,0.65241,0.59215,1.02509,0.0011719,0.0011719,0.0011719
17,3448.25,0.50595,0.49177,0.94342,0.99361,1,0.995,0.82193,0.65416,0.53402,1.02798,0.00113889,0.00113889,0.00113889
18,3976.28,0.49693,0.50991,0.94639,0.99916,0.99692,0.995,0.83609,0.59737,0.5132,1.00061,0.00110589,0.00110589,0.00110589
19,4303.95,0.48523,0.4939,0.95114,0.97336,1,0.995,0.86234,0.60719,0.50849,1.01934,0.00107288,0.00107288,0.00107288
20,4477.37,0.46954,0.49266,0.91319,0.98907,1,0.995,0.84566,0.66646,0.54525,1.05588,0.00103987,0.00103987,0.00103987
21,4763.06,0.48512,0.47647,0.95792,0.97917,1,0.995,0.82389,0.70143,0.55604,1.08689,0.00100687,0.00100687,0.00100687
22,4972.49,0.48075,0.44629,0.93813,0.99138,1,0.995,0.84394,0.62713,0.48147,1.03864,0.000973861,0.000973861,0.000973861
23,5277.02,0.49358,0.42871,0.93443,0.99513,1,0.995,0.87218,0.63359,0.47572,1.01991,0.000940855,0.000940855,0.000940855
24,5482.8,0.45637,0.45386,0.94124,0.99672,1,0.995,0.86725,0.59616,0.40928,1.00084,0.000907848,0.000907848,0.000907848
25,5738,0.50349,0.46252,0.94216,0.99425,1,0.995,0.86281,0.65618,0.42977,1.05422,0.000874842,0.000874842,0.000874842
26,5943.54,0.47381,0.4204,0.95976,0.99043,1,0.995,0.86454,0.60676,0.42043,1.01326,0.000841835,0.000841835,0.000841835
27,6117.07,0.4332,0.39168,0.93323,0.99165,1,0.995,0.83999,0.64197,0.43241,1.03559,0.000808828,0.000808828,0.000808828
28,6257.58,0.43587,0.41757,0.91787,0.99529,1,0.995,0.8751,0.57966,0.40472,0.97182,0.000775822,0.000775822,0.000775822
29,6575.36,0.44172,0.39895,0.95101,0.99513,1,0.995,0.87705,0.5739,0.40132,0.97026,0.000742815,0.000742815,0.000742815
30,6732.34,0.41959,0.4344,0.94245,0.99564,1,0.995,0.87993,0.56386,0.40042,0.97335,0.000709809,0.000709809,0.000709809
31,6891.16,0.46779,0.41953,0.92082,0.99554,1,0.995,0.88379,0.54159,0.3975,0.95555,0.000676802,0.000676802,0.000676802
32,7111.56,0.41654,0.3871,0.92005,0.99033,1,0.995,0.86404,0.533,0.39583,0.98101,0.000643795,0.000643795,0.000643795
33,7246.48,0.42106,0.44313,0.9073,0.98931,1,0.995,0.87416,0.54567,0.41069,0.9894,0.000610789,0.000610789,0.000610789
34,7393.36,0.42486,0.38425,0.9225,0.99468,1,0.995,0.88847,0.53378,0.39614,0.95997,0.000577782,0.000577782,0.000577782
35,7513.35,0.48509,0.45445,0.96137,0.99542,1,0.995,0.87522,0.53766,0.37641,0.95132,0.000544776,0.000544776,0.000544776
36,7623.47,0.38743,0.39318,0.89711,0.99514,1,0.995,0.87472,0.57626,0.38609,0.98739,0.000511769,0.000511769,0.000511769
37,7737.9,0.39193,0.37974,0.93099,0.99509,1,0.995,0.87729,0.54418,0.38627,0.96264,0.000478762,0.000478762,0.000478762
38,43356.7,0.3968,0.36289,0.90841,0.9961,1,0.995,0.87725,0.51122,0.37667,0.93763,0.000445756,0.000445756,0.000445756
39,43527.8,0.41547,0.3792,0.92514,0.99719,1,0.995,0.86441,0.54051,0.39836,0.94726,0.000412749,0.000412749,0.000412749
40,43647,0.42061,0.3945,0.91928,0.99657,1,0.995,0.86945,0.51314,0.39125,0.93271,0.000379743,0.000379743,0.000379743
41,43758,0.40297,0.50392,0.90288,0.99591,1,0.995,0.88062,0.51031,0.37889,0.93955,0.000346736,0.000346736,0.000346736
42,43865.5,0.39515,0.49503,0.89454,0.99596,1,0.995,0.8617,0.55477,0.39822,0.98157,0.000313729,0.000313729,0.000313729
43,43961.5,0.40394,0.45218,0.92255,0.99696,1,0.995,0.86121,0.55538,0.39953,0.99008,0.000280723,0.000280723,0.000280723
44,44040.4,0.36474,0.42421,0.8636,0.99543,1,0.995,0.87862,0.52367,0.39557,0.97389,0.000247716,0.000247716,0.000247716
45,44126.7,0.35041,0.41014,0.88171,0.9947,1,0.995,0.8834,0.50707,0.39226,0.96255,0.00021471,0.00021471,0.00021471
46,44217.2,0.35355,0.40527,0.87671,0.99444,1,0.995,0.88615,0.48518,0.3761,0.9456,0.000181703,0.000181703,0.000181703
47,44298,0.33261,0.37326,0.86382,0.99536,1,0.995,0.88905,0.49398,0.36666,0.9436,0.000148696,0.000148696,0.000148696
48,44373.2,0.39414,0.40122,0.90419,0.99614,1,0.995,0.89278,0.50456,0.36747,0.94634,0.00011569,0.00011569,0.00011569
49,44452.7,0.36334,0.37424,0.85075,0.99627,1,0.995,0.89225,0.50426,0.37005,0.94683,8.26832e-05,8.26832e-05,8.26832e-05
50,44542.8,0.33677,0.37351,0.8928,0.99642,1,0.995,0.88229,0.49811,0.36848,0.94481,4.96766e-05,4.96766e-05,4.96766e-05
